,Genes
989,CASC3
990,CORO1B
991,WBP1
992,CRIP2
993,USP47
994,CPNE1
995,SNX2
996,SLC39A8
997,DCTN1
998,USP22
999,SPCS1
1000,ARID4B
1001,TRIB1
1002,USP48
1003,AHCYL1
1004,MARCKSL1
1005,DRAM1
1006,MAPK1
1007,PBRM1
1008,CASP4
1009,ACTR3
1010,NFIB
1011,THRAP3
1012,SCGB3A2
1013,LONP2
1014,PSMA7
1015,ZBTB1
1016,FLOT1
1017,PDCD6IP
1018,MGAT4B
1019,MEAF6
1020,ARPP19
1021,ITGAV
1022,CMTM3
1023,EFNA1
1024,MT2A
1025,MBIP
1026,NDUFA1
1027,PRPF3
1028,MINK1
1029,METTL9
1030,ARPC5
1031,DPYSL3
1032,PGRMC1
1033,MICAL2
1034,LAMP2
1035,NDUFAF8
1036,GOLM1
1037,C9orf16
1038,IRF1
1039,ATP6V0B
1040,RNF130
1041,F3
1042,RAPH1
1043,GAK
1044,KIF13A
1045,EMP2
1046,NPDC1
1047,LMO3
1048,FARP1
1049,TNFAIP3
1050,PPP6R3
1051,PLEKHO1
1052,XRN2
1053,DYRK1A
1054,SAFB
1055,ITCH
1056,RER1
1057,RTN4
1058,RESF1
1059,KIAA1522
1060,PTPRK
1061,SKI
1062,AK1
1063,CLSTN1
1064,PNPLA2
1065,ZNF638
1066,PSMB10
1067,VPS28
1068,NAP1L4
1069,HNRNPC
1070,INTS11
1071,HGS
1072,ATP6V0D1
1073,BTBD9
1074,STEAP4
1075,SCPEP1
1076,CCDC50
1077,CTSA
1078,PRRC2B
1079,DDR1
1080,KMT5B
1081,PFDN5
1082,AGFG1
1083,LAMC1
1084,EFHD2
1085,CREBZF
1086,TPR
1087,HADHA
1088,UBE2Q1
1089,PTPRS
1090,CGGBP1
1091,PIM3
1092,PDHA1
1093,DAB2
1094,ERLEC1
1095,HIPK1
1096,DNAJC21
1097,EIF2AK1
1098,CDC73
1099,SYAP1
1100,TMEM41B
1101,SETX
1102,SMIM7
1103,UBXN6
1104,MMP14
1105,PRKAB1
1106,CYTH2
1107,C6orf62
1108,TRABD
1109,SURF4
1110,LSP1
1111,DBI
1112,PSMB1
1113,SEC13
1114,PPP4C
1115,DCTN4
1116,NME3
1117,APRT
1118,MMP24OS
1119,SUN2
1120,CCPG1
1121,CASK
1122,TMED2
1123,ALKBH5
1124,AAMP
1125,DTX3L
1126,MRC2
1127,MANF
1128,RAB7A
1129,LSR
1130,SEPTIN2
1131,DAP3
1132,MET
1133,COX6A1
1134,CNTRL
1135,SSRP1
1136,AKAP11
1137,SELENOM
1138,HEXA
1139,CLDN7
1140,MRFAP1L1
1141,PHPT1
1142,BAZ2B
1143,STX7
1144,ACP5
1145,DPP7
1146,GRSF1
1147,RAB1B
1148,CCT6A
1149,PRSS23
1150,TMX2
1151,ADIRF
1152,PSMC5
1153,TMC5
1154,PDIA6
1155,ABR
1156,OSBPL8
1157,DUS1L
1158,TOMM20
1159,CDC42SE2
1160,ANAPC5
